task,model_name,feature,importance,note
regression,lightgbm,water_level,89.0,
regression,lightgbm,air_temp_7d_mean,75.0,
regression,lightgbm,turbidity,69.0,
regression,lightgbm,sunshine_7d_sum,66.0,
regression,lightgbm,sin_season,63.0,
regression,lightgbm,max_wind_gust,57.0,
regression,lightgbm,water_temp,54.0,
regression,lightgbm,DO,54.0,
regression,lightgbm,level_change_7d,53.0,
regression,lightgbm,outflow_7d_sum,52.0,
regression,lightgbm,outflow,52.0,
regression,lightgbm,transparency,51.0,
regression,lightgbm,solar_rad,50.0,
regression,lightgbm,pH,49.0,
regression,lightgbm,cloud_cover,47.0,
regression,lightgbm,residence_proxy,45.0,
regression,lightgbm,min_temp,44.0,
regression,lightgbm,sunshine,43.0,
regression,lightgbm,cloud_7d_mean,43.0,
regression,lightgbm,nutrient_stagnation_index,42.0,
regression,lightgbm,acc_temp_7d,42.0,
regression,lightgbm,rain_14d_sum,42.0,
regression,lightgbm,solar_7d_sum,41.0,
regression,lightgbm,max_temp,39.0,
regression,lightgbm,wind_7d_mean,39.0,
regression,lightgbm,inflow_7d_sum,31.0,
regression,lightgbm,avg_temp,31.0,
regression,lightgbm,storage_vol,28.0,
regression,lightgbm,cos_season,27.0,
regression,lightgbm,rain_3d_sum,24.0,
regression,lightgbm,avg_wind,21.0,
regression,lightgbm,inflow,20.0,
regression,lightgbm,rain_7d_sum,20.0,
regression,lightgbm,storage_rate,16.0,
regression,lightgbm,daily_rain,10.0,
regression,lightgbm,low_wind_days_2ms_7d,6.0,
regression,lightgbm,hot_days_30c_7d,6.0,
regression,xgboost,water_temp,0.18520689010620117,
regression,xgboost,storage_rate,0.11298680305480957,
regression,xgboost,storage_vol,0.0969177857041359,
regression,xgboost,daily_rain,0.06823236495256424,
regression,xgboost,sin_season,0.055273354053497314,
regression,xgboost,air_temp_7d_mean,0.04239226132631302,
regression,xgboost,water_level,0.04023588448762894,
regression,xgboost,cos_season,0.038116853684186935,
regression,xgboost,level_change_7d,0.03802157938480377,
regression,xgboost,nutrient_stagnation_index,0.03342873603105545,
regression,xgboost,inflow,0.02745158039033413,
regression,xgboost,avg_temp,0.023341568186879158,
regression,xgboost,transparency,0.021477505564689636,
regression,xgboost,outflow,0.019483095034956932,
regression,xgboost,turbidity,0.018295893445611,
regression,xgboost,avg_wind,0.015022950246930122,
regression,xgboost,cloud_7d_mean,0.013959024101495743,
regression,xgboost,sunshine,0.013506576418876648,
regression,xgboost,rain_14d_sum,0.013421265408396721,
regression,xgboost,DO,0.010486505925655365,
regression,xgboost,low_wind_days_2ms_7d,0.009935296140611172,
regression,xgboost,acc_temp_7d,0.009844532236456871,
regression,xgboost,residence_proxy,0.009478569962084293,
regression,xgboost,solar_7d_sum,0.009395561181008816,
regression,xgboost,max_wind_gust,0.008754158392548561,
regression,xgboost,max_temp,0.00857198890298605,
regression,xgboost,min_temp,0.008472638204693794,
regression,xgboost,inflow_7d_sum,0.007886656560003757,
regression,xgboost,outflow_7d_sum,0.007631277199834585,
regression,xgboost,solar_rad,0.00732519943267107,
regression,xgboost,pH,0.007005512248724699,
regression,xgboost,wind_7d_mean,0.006224039942026138,
regression,xgboost,cloud_cover,0.0061257327906787395,
regression,xgboost,rain_7d_sum,0.002796567976474762,
regression,xgboost,sunshine_7d_sum,0.0024936802219599485,
regression,xgboost,rain_3d_sum,0.0007980221998877823,
regression,xgboost,hot_days_30c_7d,2.0032230167998932e-06,
regression,hist_gradient_boosting,,,이 모델은 feature_importances_ 속성을 제공하지 않습니다
regression,randomforest,water_temp,0.5200907992347883,
regression,randomforest,water_level,0.041840524329360876,
regression,randomforest,sin_season,0.04104318254833965,
regression,randomforest,cos_season,0.031521741505121555,
regression,randomforest,transparency,0.03037074313293347,
regression,randomforest,turbidity,0.02609154087782241,
regression,randomforest,acc_temp_7d,0.0241528612988184,
regression,randomforest,storage_vol,0.02131659893972015,
regression,randomforest,air_temp_7d_mean,0.019925860339069047,
regression,randomforest,storage_rate,0.017598307924895442,
regression,randomforest,outflow_7d_sum,0.01733115255431239,
regression,randomforest,level_change_7d,0.015393017203334445,
regression,randomforest,max_temp,0.014457423135641254,
regression,randomforest,max_wind_gust,0.013027783631892052,
regression,randomforest,solar_7d_sum,0.011492905184277506,
regression,randomforest,pH,0.0111492004394776,
regression,randomforest,rain_14d_sum,0.010455395717030797,
regression,randomforest,wind_7d_mean,0.010235883083925573,
regression,randomforest,nutrient_stagnation_index,0.009534226762400025,
regression,randomforest,outflow,0.009522111889932326,
regression,randomforest,sunshine_7d_sum,0.00951750519217678,
regression,randomforest,min_temp,0.009352370994924503,
regression,randomforest,sunshine,0.009123361978458191,
regression,randomforest,solar_rad,0.008931928791266803,
regression,randomforest,avg_wind,0.008294589924030905,
regression,randomforest,avg_temp,0.007722202388280741,
regression,randomforest,residence_proxy,0.007678109613737243,
regression,randomforest,DO,0.007465886303039453,
regression,randomforest,cloud_7d_mean,0.007160311872306844,
regression,randomforest,cloud_cover,0.006683590755471413,
regression,randomforest,inflow_7d_sum,0.004970215008372927,
regression,randomforest,rain_7d_sum,0.004163984100430353,
regression,randomforest,daily_rain,0.003952667769934048,
regression,randomforest,rain_3d_sum,0.003319719321701581,
regression,randomforest,inflow,0.0025103553806932926,
regression,randomforest,hot_days_30c_7d,0.0018874912987207678,
regression,randomforest,low_wind_days_2ms_7d,0.0007144495733609109,
regression,catboost,water_temp,14.252112854483853,
regression,catboost,acc_temp_7d,7.650213678577287,
regression,catboost,sin_season,7.1795712741283735,
regression,catboost,water_level,6.3676269481373735,
regression,catboost,storage_vol,4.696156920996156,
regression,catboost,cos_season,3.9998991529491845,
regression,catboost,air_temp_7d_mean,3.5283505968682403,
regression,catboost,outflow_7d_sum,3.1193856393603556,
regression,catboost,turbidity,3.111063342997008,
regression,catboost,transparency,2.9131656313770287,
regression,catboost,level_change_7d,2.902219162083208,
regression,catboost,DO,2.8298124998331446,
regression,catboost,min_temp,2.72258027731567,
regression,catboost,pH,2.6120353969476566,
regression,catboost,residence_proxy,2.605346541741341,
regression,catboost,solar_7d_sum,2.2484921921462515,
regression,catboost,avg_temp,2.0983495620848918,
regression,catboost,storage_rate,2.0267732527867355,
regression,catboost,outflow,1.9407131614371833,
regression,catboost,max_wind_gust,1.9030033928830383,
regression,catboost,wind_7d_mean,1.8891972918297226,
regression,catboost,max_temp,1.8672894369028061,
regression,catboost,sunshine_7d_sum,1.6699090437466588,
regression,catboost,rain_14d_sum,1.6181781156244874,
regression,catboost,nutrient_stagnation_index,1.5594552941731368,
regression,catboost,solar_rad,1.481573909313391,
regression,catboost,cloud_cover,1.2770130625715044,
regression,catboost,cloud_7d_mean,1.2458922086522166,
regression,catboost,inflow_7d_sum,1.244862719803957,
regression,catboost,sunshine,1.0041316167353571,
regression,catboost,avg_wind,0.8024519790839533,
regression,catboost,rain_7d_sum,0.8022633985758988,
regression,catboost,daily_rain,0.7080934080019532,
regression,catboost,low_wind_days_2ms_7d,0.6826661560110219,
regression,catboost,rain_3d_sum,0.6257261367224315,
regression,catboost,inflow,0.5052071352546141,
regression,catboost,hot_days_30c_7d,0.3092176078629114,
classification,lightgbm,water_temp,269.0,
classification,lightgbm,turbidity,254.0,
classification,lightgbm,sin_season,148.0,
classification,lightgbm,max_wind_gust,127.0,
classification,lightgbm,sunshine_7d_sum,109.0,
classification,lightgbm,acc_temp_7d,86.0,
classification,lightgbm,air_temp_7d_mean,85.0,
classification,lightgbm,sunshine,69.0,
classification,lightgbm,level_change_7d,66.0,
classification,lightgbm,water_level,65.0,
classification,lightgbm,cos_season,60.0,
classification,lightgbm,min_temp,59.0,
classification,lightgbm,transparency,58.0,
classification,lightgbm,outflow_7d_sum,50.0,
classification,lightgbm,DO,44.0,
classification,lightgbm,solar_rad,42.0,
classification,lightgbm,wind_7d_mean,39.0,
classification,lightgbm,pH,38.0,
classification,lightgbm,avg_temp,38.0,
classification,lightgbm,max_temp,37.0,
classification,lightgbm,cloud_cover,36.0,
classification,lightgbm,outflow,35.0,
classification,lightgbm,rain_14d_sum,32.0,
classification,lightgbm,storage_vol,31.0,
classification,lightgbm,cloud_7d_mean,29.0,
classification,lightgbm,rain_3d_sum,28.0,
classification,lightgbm,solar_7d_sum,25.0,
classification,lightgbm,nutrient_stagnation_index,22.0,
classification,lightgbm,inflow,22.0,
classification,lightgbm,inflow_7d_sum,17.0,
classification,lightgbm,avg_wind,15.0,
classification,lightgbm,residence_proxy,15.0,
classification,lightgbm,storage_rate,11.0,
classification,lightgbm,hot_days_30c_7d,9.0,
classification,lightgbm,daily_rain,5.0,
classification,lightgbm,rain_7d_sum,5.0,
classification,lightgbm,low_wind_days_2ms_7d,1.0,
classification,xgboost,water_temp,0.47967642545700073,
classification,xgboost,cos_season,0.11734388768672943,
classification,xgboost,DO,0.056531261652708054,
classification,xgboost,outflow_7d_sum,0.054223839193582535,
classification,xgboost,turbidity,0.035150330513715744,
classification,xgboost,solar_rad,0.024578578770160675,
classification,xgboost,max_wind_gust,0.02283005602657795,
classification,xgboost,acc_temp_7d,0.019457262009382248,
classification,xgboost,sunshine_7d_sum,0.01923006772994995,
classification,xgboost,sin_season,0.01823609508574009,
classification,xgboost,sunshine,0.0142959700897336,
classification,xgboost,rain_14d_sum,0.011506048031151295,
classification,xgboost,water_level,0.01149207353591919,
classification,xgboost,nutrient_stagnation_index,0.010788852348923683,
classification,xgboost,cloud_7d_mean,0.009473200887441635,
classification,xgboost,level_change_7d,0.00945924874395132,
classification,xgboost,max_temp,0.009305900894105434,
classification,xgboost,wind_7d_mean,0.007219182327389717,
classification,xgboost,pH,0.0071656652726233006,
classification,xgboost,daily_rain,0.006291455589234829,
classification,xgboost,rain_3d_sum,0.006186933256685734,
classification,xgboost,hot_days_30c_7d,0.006121913902461529,
classification,xgboost,storage_vol,0.005904837511479855,
classification,xgboost,transparency,0.005326265003532171,
classification,xgboost,inflow_7d_sum,0.0046836212277412415,
classification,xgboost,rain_7d_sum,0.0046005831100046635,
classification,xgboost,min_temp,0.004508750978857279,
classification,xgboost,air_temp_7d_mean,0.004250300582498312,
classification,xgboost,cloud_cover,0.003368090372532606,
classification,xgboost,outflow,0.002736188005656004,
classification,xgboost,avg_temp,0.0026621955912560225,
classification,xgboost,inflow,0.0017764994408935308,
classification,xgboost,solar_7d_sum,0.0016431950498372316,
classification,xgboost,residence_proxy,0.0012045654002577066,
classification,xgboost,avg_wind,0.0007706883479841053,
classification,xgboost,storage_rate,0.0,
classification,xgboost,low_wind_days_2ms_7d,0.0,
classification,hist_gradient_boosting,,,이 모델은 feature_importances_ 속성을 제공하지 않습니다
classification,randomforest,water_temp,0.18355964861933455,
classification,randomforest,turbidity,0.14742705314823482,
classification,randomforest,acc_temp_7d,0.10228924433447963,
classification,randomforest,sin_season,0.08781509160924773,
classification,randomforest,air_temp_7d_mean,0.08010093886530785,
classification,randomforest,cos_season,0.05033223236531669,
classification,randomforest,avg_temp,0.04250013315217844,
classification,randomforest,transparency,0.039416213423482165,
classification,randomforest,DO,0.03827991434675756,
classification,randomforest,min_temp,0.037117483492527144,
classification,randomforest,max_temp,0.0230742953991183,
classification,randomforest,outflow_7d_sum,0.014936289351594684,
classification,randomforest,storage_vol,0.012217312596673057,
classification,randomforest,pH,0.011289067664712922,
classification,randomforest,water_level,0.010828770314480146,
classification,randomforest,max_wind_gust,0.009228110486773113,
classification,randomforest,solar_rad,0.009217409893714357,
classification,randomforest,level_change_7d,0.008833783407999578,
classification,randomforest,residence_proxy,0.008596829081970741,
classification,randomforest,outflow,0.007506596753648008,
classification,randomforest,sunshine,0.007145192634900501,
classification,randomforest,storage_rate,0.007131510235898098,
classification,randomforest,nutrient_stagnation_index,0.007128392459894356,
classification,randomforest,sunshine_7d_sum,0.006319150326068614,
classification,randomforest,rain_14d_sum,0.005557385298524392,
classification,randomforest,rain_3d_sum,0.005209269354143094,
classification,randomforest,cloud_7d_mean,0.005155145138788627,
classification,randomforest,inflow_7d_sum,0.004981963413991054,
classification,randomforest,hot_days_30c_7d,0.004654330020113578,
classification,randomforest,solar_7d_sum,0.004503721137883496,
classification,randomforest,wind_7d_mean,0.0037678565897958263,
classification,randomforest,avg_wind,0.003687873162515539,
classification,randomforest,cloud_cover,0.003530900626396918,
classification,randomforest,rain_7d_sum,0.003201956830086922,
classification,randomforest,daily_rain,0.0017415470029006092,
classification,randomforest,inflow,0.0016057557573985845,
classification,randomforest,low_wind_days_2ms_7d,0.00011163170314841406,
classification,catboost,turbidity,16.331972400736124,
classification,catboost,water_temp,13.796606623961761,
classification,catboost,sin_season,9.060474389310222,
classification,catboost,acc_temp_7d,8.510460294408311,
classification,catboost,cos_season,5.420265239217654,
classification,catboost,transparency,3.711396712555055,
classification,catboost,air_temp_7d_mean,2.988186057591009,
classification,catboost,pH,2.297061995094568,
classification,catboost,outflow_7d_sum,2.086704827466317,
classification,catboost,water_level,1.9861217758990097,
classification,catboost,storage_vol,1.8628869556933976,
classification,catboost,solar_rad,1.8322931863384078,
classification,catboost,cloud_cover,1.774327756168968,
classification,catboost,storage_rate,1.7036421567962623,
classification,catboost,level_change_7d,1.6877663289875293,
classification,catboost,residence_proxy,1.649881562302007,
classification,catboost,nutrient_stagnation_index,1.5331051492553598,
classification,catboost,avg_temp,1.5094762684826672,
classification,catboost,outflow,1.4983967474842166,
classification,catboost,sunshine,1.4444863285059744,
classification,catboost,max_wind_gust,1.433844260385331,
classification,catboost,DO,1.3804267096525369,
classification,catboost,min_temp,1.3765639434973056,
classification,catboost,max_temp,1.3113855317882317,
classification,catboost,rain_14d_sum,1.2899597641807787,
classification,catboost,rain_7d_sum,1.1827339253636304,
classification,catboost,cloud_7d_mean,1.1666923799205766,
classification,catboost,hot_days_30c_7d,1.1142129775725869,
classification,catboost,rain_3d_sum,1.0997939629088853,
classification,catboost,inflow_7d_sum,1.0375805663563442,
classification,catboost,solar_7d_sum,0.8994583235164447,
classification,catboost,avg_wind,0.8882183797136998,
classification,catboost,inflow,0.8294492470981084,
classification,catboost,sunshine_7d_sum,0.7843677059870778,
classification,catboost,wind_7d_mean,0.7719815175368651,
classification,catboost,daily_rain,0.5415668396358493,
classification,catboost,low_wind_days_2ms_7d,0.20625120863093688,
