task,model_name,feature,importance,note
regression,lightgbm,water_level,94.0,
regression,lightgbm,wind_7d_mean,89.0,
regression,lightgbm,DO,85.0,
regression,lightgbm,acc_temp_7d,76.0,
regression,lightgbm,turbidity,75.0,
regression,lightgbm,sin_season,74.0,
regression,lightgbm,cloud_cover,72.0,
regression,lightgbm,sunshine_7d_sum,68.0,
regression,lightgbm,storage_vol,67.0,
regression,lightgbm,max_wind_gust,58.0,
regression,lightgbm,cos_season,57.0,
regression,lightgbm,sunshine,53.0,
regression,lightgbm,solar_7d_sum,53.0,
regression,lightgbm,water_temp_diff_1d,51.0,
regression,lightgbm,transparency,49.0,
regression,lightgbm,solar_rad,49.0,
regression,lightgbm,inflow_7d_sum,47.0,
regression,lightgbm,level_change_7d,44.0,
regression,lightgbm,outflow,37.0,
regression,lightgbm,rain_14d_sum,37.0,
regression,lightgbm,rain_7d_sum,34.0,
regression,lightgbm,avg_temp,34.0,
regression,lightgbm,water_temp,33.0,
regression,lightgbm,max_temp,33.0,
regression,lightgbm,heat_stagnation_index,30.0,
regression,lightgbm,water_level_diff_1d,30.0,
regression,lightgbm,pH,29.0,
regression,lightgbm,residence_proxy,24.0,
regression,lightgbm,inflow_diff_1d,23.0,
regression,lightgbm,air_temp_7d_mean,18.0,
regression,lightgbm,rain_lag_2d,15.0,
regression,lightgbm,rain_lag_1d,13.0,
regression,xgboost,sin_season,0.5140626430511475,
regression,xgboost,acc_temp_7d,0.22170493006706238,
regression,xgboost,storage_vol,0.04156966879963875,
regression,xgboost,DO,0.032917678356170654,
regression,xgboost,water_level,0.02849823236465454,
regression,xgboost,transparency,0.020198820158839226,
regression,xgboost,max_wind_gust,0.015195823274552822,
regression,xgboost,turbidity,0.011730409227311611,
regression,xgboost,air_temp_7d_mean,0.009349321015179157,
regression,xgboost,solar_7d_sum,0.008737984113395214,
regression,xgboost,level_change_7d,0.008647477254271507,
regression,xgboost,cos_season,0.00834441278129816,
regression,xgboost,cloud_cover,0.007359822280704975,
regression,xgboost,solar_rad,0.007245245389640331,
regression,xgboost,avg_temp,0.007050852756947279,
regression,xgboost,outflow,0.006411531008780003,
regression,xgboost,inflow_diff_1d,0.006082243751734495,
regression,xgboost,wind_7d_mean,0.005996375344693661,
regression,xgboost,water_temp,0.005887636914849281,
regression,xgboost,pH,0.004361786879599094,
regression,xgboost,max_temp,0.004151235334575176,
regression,xgboost,sunshine,0.0033182294573634863,
regression,xgboost,sunshine_7d_sum,0.003222964471206069,
regression,xgboost,rain_lag_1d,0.002745695412158966,
regression,xgboost,rain_lag_2d,0.002607247792184353,
regression,xgboost,inflow_7d_sum,0.0023242305032908916,
regression,xgboost,water_temp_diff_1d,0.002161419950425625,
regression,xgboost,heat_stagnation_index,0.0021573728881776333,
regression,xgboost,water_level_diff_1d,0.0018354111816734076,
regression,xgboost,residence_proxy,0.0018131278920918703,
regression,xgboost,rain_7d_sum,0.0015551249962300062,
regression,xgboost,rain_14d_sum,0.0007549424772150815,
regression,hist_gradient_boosting,,,이 모델은 feature_importances_ 속성을 제공하지 않습니다
regression,randomforest,acc_temp_7d,0.3639057412036336,
regression,randomforest,sin_season,0.296000565337146,
regression,randomforest,DO,0.062451306924635235,
regression,randomforest,storage_vol,0.04404506379501532,
regression,randomforest,transparency,0.039259026978988434,
regression,randomforest,water_level,0.028372945053583273,
regression,randomforest,cos_season,0.01822500215078667,
regression,randomforest,turbidity,0.017818601122396784,
regression,randomforest,water_temp,0.009801074315449847,
regression,randomforest,solar_rad,0.009402657958056683,
regression,randomforest,max_wind_gust,0.008895514481658148,
regression,randomforest,avg_temp,0.007978469396061253,
regression,randomforest,inflow_diff_1d,0.007433182329807922,
regression,randomforest,max_temp,0.007174134899901584,
regression,randomforest,sunshine_7d_sum,0.006853068450128885,
regression,randomforest,solar_7d_sum,0.006700666125070809,
regression,randomforest,air_temp_7d_mean,0.006069724718578454,
regression,randomforest,level_change_7d,0.005607166691592399,
regression,randomforest,water_level_diff_1d,0.004872275669051906,
regression,randomforest,water_temp_diff_1d,0.0048122215170918045,
regression,randomforest,pH,0.004804151435252902,
regression,randomforest,heat_stagnation_index,0.004705725053380451,
regression,randomforest,cloud_cover,0.004651216964967384,
regression,randomforest,sunshine,0.004633762712251306,
regression,randomforest,wind_7d_mean,0.0046310702823721805,
regression,randomforest,outflow,0.004358399014775104,
regression,randomforest,inflow_7d_sum,0.003113472718362159,
regression,randomforest,rain_7d_sum,0.0031129142702672904,
regression,randomforest,rain_lag_1d,0.0030428937010092906,
regression,randomforest,rain_14d_sum,0.002670241673137399,
regression,randomforest,residence_proxy,0.002429866190659495,
regression,randomforest,rain_lag_2d,0.002167876864930155,
regression,catboost,acc_temp_7d,17.60409184244127,
regression,catboost,sin_season,17.444526231262532,
regression,catboost,DO,9.295539861764771,
regression,catboost,storage_vol,6.029652570395928,
regression,catboost,water_level,5.554524136684808,
regression,catboost,transparency,4.446006442667019,
regression,catboost,turbidity,3.6959451898235147,
regression,catboost,water_temp,3.4739536730320575,
regression,catboost,solar_rad,2.343866976950695,
regression,catboost,cos_season,2.13481359727419,
regression,catboost,sunshine_7d_sum,2.0371740718514912,
regression,catboost,cloud_cover,1.9118120311403868,
regression,catboost,air_temp_7d_mean,1.898372252710466,
regression,catboost,solar_7d_sum,1.7981404991363783,
regression,catboost,max_wind_gust,1.7714159012404576,
regression,catboost,avg_temp,1.763513083918692,
regression,catboost,max_temp,1.3729810627293213,
regression,catboost,wind_7d_mean,1.3029039952008035,
regression,catboost,rain_14d_sum,1.2707858507692817,
regression,catboost,sunshine,1.1668953361162113,
regression,catboost,water_level_diff_1d,1.1611903876855976,
regression,catboost,inflow_7d_sum,1.1554125146389345,
regression,catboost,outflow,1.1487368641046534,
regression,catboost,pH,1.1477733558918692,
regression,catboost,level_change_7d,1.1373583979722535,
regression,catboost,heat_stagnation_index,1.0841604206745987,
regression,catboost,water_temp_diff_1d,1.0119038100996578,
regression,catboost,inflow_diff_1d,0.8854104393636747,
