task,model_name,feature,importance,note
regression,lightgbm,water_level,71.0,
regression,lightgbm,wind_7d_mean,69.0,
regression,lightgbm,turbidity,68.0,
regression,lightgbm,transparency,66.0,
regression,lightgbm,air_temp_7d_mean,66.0,
regression,lightgbm,storage_vol,66.0,
regression,lightgbm,sin_season,62.0,
regression,lightgbm,outflow_7d_sum,60.0,
regression,lightgbm,acc_temp_7d,57.0,
regression,lightgbm,sunshine,57.0,
regression,lightgbm,sunshine_7d_sum,55.0,
regression,lightgbm,solar_rad,54.0,
regression,lightgbm,water_temp,52.0,
regression,lightgbm,residence_proxy,51.0,
regression,lightgbm,cloud_cover,50.0,
regression,lightgbm,DO,50.0,
regression,lightgbm,inflow_diff_1d,50.0,
regression,lightgbm,rain_7d_sum,46.0,
regression,lightgbm,heat_stagnation_index,46.0,
regression,lightgbm,rain_14d_sum,45.0,
regression,lightgbm,level_change_7d,45.0,
regression,lightgbm,water_temp_diff_1d,44.0,
regression,lightgbm,solar_7d_sum,43.0,
regression,lightgbm,max_temp,40.0,
regression,lightgbm,pH,39.0,
regression,lightgbm,outflow,37.0,
regression,lightgbm,cos_season,36.0,
regression,lightgbm,avg_temp,34.0,
regression,lightgbm,water_level_diff_1d,27.0,
regression,lightgbm,storage_rate,21.0,
regression,lightgbm,rain_lag_2d,17.0,
regression,lightgbm,rain_lag_1d,8.0,
regression,xgboost,acc_temp_7d,0.3451237678527832,
regression,xgboost,sin_season,0.3326264023780823,
regression,xgboost,storage_vol,0.09405670315027237,
regression,xgboost,transparency,0.02238098531961441,
regression,xgboost,storage_rate,0.018316807225346565,
regression,xgboost,level_change_7d,0.018158499151468277,
regression,xgboost,outflow_7d_sum,0.01754916086792946,
regression,xgboost,solar_rad,0.01672888919711113,
regression,xgboost,air_temp_7d_mean,0.013564838096499443,
regression,xgboost,max_temp,0.013498324900865555,
regression,xgboost,water_level,0.01323887798935175,
regression,xgboost,solar_7d_sum,0.010850426740944386,
regression,xgboost,outflow,0.008582777343690395,
regression,xgboost,sunshine,0.008504518307745457,
regression,xgboost,sunshine_7d_sum,0.006822602357715368,
regression,xgboost,rain_14d_sum,0.005998814944177866,
regression,xgboost,rain_lag_2d,0.005033022258430719,
regression,xgboost,cos_season,0.004886962939053774,
regression,xgboost,inflow_diff_1d,0.00485839881002903,
regression,xgboost,water_temp,0.004568695090711117,
regression,xgboost,cloud_cover,0.004491847939789295,
regression,xgboost,rain_lag_1d,0.0042029209434986115,
regression,xgboost,turbidity,0.004057597368955612,
regression,xgboost,DO,0.0036210082471370697,
regression,xgboost,pH,0.0035686588380485773,
regression,xgboost,wind_7d_mean,0.0031380807049572468,
regression,xgboost,heat_stagnation_index,0.003043083706870675,
regression,xgboost,water_temp_diff_1d,0.0029655438847839832,
regression,xgboost,rain_7d_sum,0.0027043242007493973,
regression,xgboost,residence_proxy,0.0019589473959058523,
regression,xgboost,water_level_diff_1d,0.0006279700319282711,
regression,xgboost,avg_temp,0.00027049623895436525,
regression,hist_gradient_boosting,,,이 모델은 feature_importances_ 속성을 제공하지 않습니다
regression,randomforest,sin_season,0.3944891790075075,
regression,randomforest,acc_temp_7d,0.24165608198291494,
regression,randomforest,storage_vol,0.03363976654512893,
regression,randomforest,storage_rate,0.02523277850188868,
regression,randomforest,transparency,0.02395937987602839,
regression,randomforest,water_level,0.02023302420081322,
regression,randomforest,outflow_7d_sum,0.017168921675936196,
regression,randomforest,turbidity,0.017120727086159783,
regression,randomforest,wind_7d_mean,0.015616832977293079,
regression,randomforest,solar_rad,0.014532351411240027,
regression,randomforest,air_temp_7d_mean,0.013868879669792757,
regression,randomforest,max_temp,0.013739094079652719,
regression,randomforest,level_change_7d,0.013348790813531797,
regression,randomforest,cos_season,0.012657010123740415,
regression,randomforest,DO,0.01107456489554861,
regression,randomforest,solar_7d_sum,0.01097956568673061,
regression,randomforest,water_temp,0.010607566989765352,
regression,randomforest,residence_proxy,0.01050394955495366,
regression,randomforest,rain_14d_sum,0.00943927445999224,
regression,randomforest,pH,0.009204573299402137,
regression,randomforest,outflow,0.008883439416010427,
regression,randomforest,cloud_cover,0.008682688628793992,
regression,randomforest,water_temp_diff_1d,0.007759874190529276,
regression,randomforest,heat_stagnation_index,0.007717806159692238,
regression,randomforest,inflow_diff_1d,0.007508755977235567,
regression,randomforest,rain_7d_sum,0.007166782635161479,
regression,randomforest,sunshine_7d_sum,0.0068112430077585506,
regression,randomforest,water_level_diff_1d,0.006713142840139919,
regression,randomforest,sunshine,0.006691947556910905,
regression,randomforest,avg_temp,0.005647513182372357,
regression,randomforest,rain_lag_2d,0.004922416607793767,
regression,randomforest,rain_lag_1d,0.0024220769595804294,
regression,catboost,sin_season,18.13233387925019,
regression,catboost,acc_temp_7d,15.555969926170338,
regression,catboost,storage_rate,6.3741863982590115,
regression,catboost,storage_vol,4.653158615423571,
regression,catboost,water_level,4.37002683721874,
regression,catboost,transparency,3.4833389894304365,
regression,catboost,air_temp_7d_mean,3.2775819990797013,
regression,catboost,solar_rad,3.105058763921682,
regression,catboost,water_temp,2.705822458036317,
regression,catboost,turbidity,2.4982635478024706,
regression,catboost,solar_7d_sum,2.411349854548546,
regression,catboost,DO,2.383806471115632,
regression,catboost,cos_season,2.318363645301438,
regression,catboost,wind_7d_mean,2.1990551378374006,
regression,catboost,heat_stagnation_index,2.1365275064678695,
regression,catboost,outflow_7d_sum,2.043175905225039,
regression,catboost,outflow,1.8278349845546389,
regression,catboost,cloud_cover,1.7858743509461381,
regression,catboost,rain_7d_sum,1.74981705657753,
regression,catboost,rain_14d_sum,1.6762388274469702,
regression,catboost,avg_temp,1.6643329787739627,
regression,catboost,pH,1.5749484109522742,
regression,catboost,residence_proxy,1.5271409573428307,
regression,catboost,sunshine,1.520349617168873,
regression,catboost,water_temp_diff_1d,1.505009535564845,
regression,catboost,sunshine_7d_sum,1.4922471690498276,
regression,catboost,max_temp,1.3594593809260613,
regression,catboost,inflow_diff_1d,1.2947683490656092,
regression,catboost,water_level_diff_1d,1.2428743324151321,
regression,catboost,level_change_7d,1.0950441797990385,
regression,catboost,rain_lag_2d,0.5510450727329684,
regression,catboost,rain_lag_1d,0.4849948615949221,
classification,lightgbm,sin_season,292.0,
classification,lightgbm,turbidity,246.0,
classification,lightgbm,water_level,228.0,
classification,lightgbm,acc_temp_7d,145.0,
classification,lightgbm,water_temp,92.0,
classification,lightgbm,storage_vol,86.0,
classification,lightgbm,pH,85.0,
classification,lightgbm,transparency,71.0,
classification,lightgbm,water_temp_diff_1d,54.0,
classification,lightgbm,DO,53.0,
classification,lightgbm,outflow_7d_sum,51.0,
classification,lightgbm,sunshine_7d_sum,48.0,
classification,lightgbm,heat_stagnation_index,47.0,
classification,lightgbm,max_temp,43.0,
classification,lightgbm,avg_temp,41.0,
classification,lightgbm,sunshine,40.0,
classification,lightgbm,air_temp_7d_mean,39.0,
classification,lightgbm,residence_proxy,37.0,
classification,lightgbm,outflow,36.0,
classification,lightgbm,rain_7d_sum,36.0,
classification,lightgbm,inflow_diff_1d,33.0,
classification,lightgbm,solar_rad,31.0,
classification,lightgbm,wind_7d_mean,30.0,
classification,lightgbm,level_change_7d,30.0,
classification,lightgbm,cos_season,29.0,
classification,lightgbm,solar_7d_sum,27.0,
classification,lightgbm,rain_14d_sum,23.0,
