feature,mean_abs_shap
acc_temp_7d,1.1710338625762549
sin_season,0.9997981085597414
turbidity,0.9586988748031063
water_level,0.3344088884135578
storage_rate,0.2738210285825337
storage_vol,0.2583316080635628
water_temp,0.20645780115262566
transparency,0.14956135101052756
DO,0.12772118640021024
pH,0.11950442847832911
max_temp,0.09537293482460926
air_temp_7d_mean,0.07021489772497784
cos_season,0.0660818818725063
wind_7d_mean,0.0632790560019363
avg_temp,0.05964008934062701
inflow,0.052824117256225565
sunshine_7d_sum,0.0515797889009973
min_temp,0.05010818760857713
outflow,0.04667235404843393
level_change_7d,0.04146984800765619
avg_wind,0.038329000224514936
solar_rad,0.03780941923482419
solar_7d_sum,0.03766967770275662
residence_proxy,0.037559840246305376
low_wind_days_2ms_7d,0.03672702226444326
outflow_7d_sum,0.03655608879892321
inflow_7d_sum,0.035302499797623746
max_wind_gust,0.03388389036624861
rain_7d_sum,0.030218090169988974
nutrient_stagnation_index,0.03011743992664215
cloud_cover,0.02675148986319413
hot_days_30c_7d,0.026646564783281874
cloud_7d_mean,0.022556864985226893
rain_3d_sum,0.022500123555424637
rain_14d_sum,0.02226838183580435
daily_rain,0.020840918509371427
sunshine,0.020750987569031015
