task,model_name,feature,importance,note
regression,lightgbm,water_level,84.0,
regression,lightgbm,heat_stagnation_index,73.0,
regression,lightgbm,sunshine_7d_sum,64.0,
regression,lightgbm,max_wind_gust,61.0,
regression,lightgbm,outflow_7d_sum,59.0,
regression,lightgbm,turbidity,57.0,
regression,lightgbm,air_temp_7d_mean,57.0,
regression,lightgbm,DO,56.0,
regression,lightgbm,sin_season,55.0,
regression,lightgbm,solar_7d_sum,54.0,
regression,lightgbm,cloud_cover,51.0,
regression,lightgbm,transparency,50.0,
regression,lightgbm,outflow,48.0,
regression,lightgbm,pH,48.0,
regression,lightgbm,min_temp,45.0,
regression,lightgbm,water_temp,44.0,
regression,lightgbm,inflow_diff_1d,42.0,
regression,lightgbm,solar_rad,41.0,
regression,lightgbm,storage_vol,41.0,
regression,lightgbm,sunshine,40.0,
regression,lightgbm,water_temp_diff_1d,38.0,
regression,lightgbm,cos_season,38.0,
regression,lightgbm,inflow_7d_sum,37.0,
regression,lightgbm,rain_7d_sum,36.0,
regression,lightgbm,acc_temp_7d,36.0,
regression,lightgbm,water_level_diff_1d,35.0,
regression,lightgbm,residence_proxy,33.0,
regression,lightgbm,max_temp,33.0,
regression,lightgbm,level_change_7d,32.0,
regression,lightgbm,avg_temp,32.0,
regression,lightgbm,rain_14d_sum,30.0,
regression,lightgbm,rain_3d_sum,22.0,
regression,lightgbm,inflow,19.0,
regression,lightgbm,rain_lag_2d,17.0,
regression,lightgbm,rain_lag_1d,16.0,
regression,lightgbm,daily_rain,12.0,
regression,xgboost,water_temp,0.1977519690990448,
regression,xgboost,storage_vol,0.11464370042085648,
regression,xgboost,air_temp_7d_mean,0.06545540690422058,
regression,xgboost,sin_season,0.05237824097275734,
regression,xgboost,cos_season,0.04591045528650284,
regression,xgboost,water_level,0.04321182891726494,
regression,xgboost,heat_stagnation_index,0.0425570048391819,
regression,xgboost,inflow,0.03553146496415138,
regression,xgboost,daily_rain,0.03411891311407089,
regression,xgboost,level_change_7d,0.03249027952551842,
regression,xgboost,rain_lag_1d,0.0323617085814476,
regression,xgboost,water_level_diff_1d,0.028974825516343117,
regression,xgboost,turbidity,0.027664214372634888,
regression,xgboost,transparency,0.024111617356538773,
regression,xgboost,solar_7d_sum,0.020108263939619064,
regression,xgboost,avg_temp,0.01905651018023491,
regression,xgboost,max_temp,0.019054442644119263,
regression,xgboost,min_temp,0.01854243502020836,
regression,xgboost,outflow,0.018373865634202957,
regression,xgboost,DO,0.01337625551968813,
regression,xgboost,max_wind_gust,0.01322496123611927,
regression,xgboost,sunshine,0.012850983999669552,
regression,xgboost,rain_lag_2d,0.010692307725548744,
regression,xgboost,rain_14d_sum,0.010342777706682682,
regression,xgboost,cloud_cover,0.01018787082284689,
regression,xgboost,pH,0.010027355514466763,
regression,xgboost,outflow_7d_sum,0.0067319246008992195,
regression,xgboost,water_temp_diff_1d,0.0064516933634877205,
