feature,mean_abs_shap
water_temp,1.13312108730255
turbidity,0.8176113579775003
sin_season,0.4890554321087486
cos_season,0.32064782166523964
air_temp_7d_mean,0.1608750991270967
water_level,0.06891507200988908
sunshine,0.05206207991988979
max_wind_gust,0.05082594769505467
solar_rad,0.039985286482673375
max_temp,0.038943216837212156
avg_temp,0.03594029551838114
outflow_7d_sum,0.03170087493964718
acc_temp_7d,0.028944031687933348
storage_rate,0.02517678507413568
sunshine_7d_sum,0.024824525996488062
transparency,0.021933011709561457
nutrient_stagnation_index,0.02065293105738559
cloud_cover,0.01887076856873625
residence_proxy,0.012982742978142933
rain_14d_sum,0.011853109262895506
pH,0.010611184869868555
storage_vol,0.005881835821760527
min_temp,0.005400250848695973
inflow_7d_sum,0.005192866555275812
cloud_7d_mean,0.0048061505296471616
DO,0.003529759349563453
rain_3d_sum,0.0034318909186250674
level_change_7d,0.003125563163546039
hot_days_30c_7d,0.0005310219838388498
daily_rain,6.06647694496541e-08
inflow,2.0869340313187377e-08
outflow,0.0
avg_wind,0.0
low_wind_days_2ms_7d,0.0
wind_7d_mean,0.0
rain_7d_sum,0.0
solar_7d_sum,0.0
