model_name,threshold,precision,recall,f1
lightgbm,0.05,0.975609756097561,0.8333333333333334,0.898876404494382
lightgbm,0.1,0.9743589743589743,0.7916666666666666,0.8735632183908046
lightgbm,0.15,0.9743589743589743,0.7916666666666666,0.8735632183908046
lightgbm,0.2,0.9743589743589743,0.7916666666666666,0.8735632183908046
lightgbm,0.25,0.9743589743589743,0.7916666666666666,0.8735632183908046
lightgbm,0.3,1.0,0.7916666666666666,0.8837209302325582
lightgbm,0.35,1.0,0.7708333333333334,0.8705882352941177
lightgbm,0.4,1.0,0.7291666666666666,0.8433734939759037
lightgbm,0.45,1.0,0.7083333333333334,0.8292682926829268
lightgbm,0.5,1.0,0.7083333333333334,0.8292682926829268
lightgbm,0.55,1.0,0.6875,0.8148148148148148
lightgbm,0.6,1.0,0.6875,0.8148148148148148
lightgbm,0.65,1.0,0.6666666666666666,0.8
lightgbm,0.7,1.0,0.6666666666666666,0.8
lightgbm,0.75,1.0,0.6458333333333334,0.7848101265822784
lightgbm,0.8,1.0,0.6458333333333334,0.7848101265822784
xgboost,0.05,0.9761904761904762,0.8541666666666666,0.9111111111111111
xgboost,0.1,1.0,0.8333333333333334,0.9090909090909091
xgboost,0.15,1.0,0.8333333333333334,0.9090909090909091
xgboost,0.2,1.0,0.8125,0.896551724137931
xgboost,0.25,1.0,0.8125,0.896551724137931
xgboost,0.3,1.0,0.7916666666666666,0.8837209302325582
xgboost,0.35,1.0,0.7916666666666666,0.8837209302325582
xgboost,0.4,1.0,0.7708333333333334,0.8705882352941177
xgboost,0.45,1.0,0.7708333333333334,0.8705882352941177
xgboost,0.5,1.0,0.7708333333333334,0.8705882352941177
xgboost,0.55,1.0,0.7708333333333334,0.8705882352941177
xgboost,0.6,1.0,0.7708333333333334,0.8705882352941177
xgboost,0.65,1.0,0.7291666666666666,0.8433734939759037
xgboost,0.7,1.0,0.7291666666666666,0.8433734939759037
xgboost,0.75,1.0,0.7083333333333334,0.8292682926829268
xgboost,0.8,1.0,0.6458333333333334,0.7848101265822784
hist_gradient_boosting,0.05,1.0,0.75,0.8571428571428571
hist_gradient_boosting,0.1,1.0,0.75,0.8571428571428571
hist_gradient_boosting,0.15,1.0,0.75,0.8571428571428571
hist_gradient_boosting,0.2,1.0,0.75,0.8571428571428571
hist_gradient_boosting,0.25,1.0,0.7291666666666666,0.8433734939759037
hist_gradient_boosting,0.3,1.0,0.7291666666666666,0.8433734939759037
hist_gradient_boosting,0.35,1.0,0.6875,0.8148148148148148
hist_gradient_boosting,0.4,1.0,0.6875,0.8148148148148148
hist_gradient_boosting,0.45,1.0,0.6875,0.8148148148148148
hist_gradient_boosting,0.5,1.0,0.6666666666666666,0.8
hist_gradient_boosting,0.55,1.0,0.6666666666666666,0.8
hist_gradient_boosting,0.6,1.0,0.6666666666666666,0.8
hist_gradient_boosting,0.65,1.0,0.6458333333333334,0.7848101265822784
hist_gradient_boosting,0.7,1.0,0.6458333333333334,0.7848101265822784
hist_gradient_boosting,0.75,1.0,0.6458333333333334,0.7848101265822784
hist_gradient_boosting,0.8,1.0,0.6458333333333334,0.7848101265822784
randomforest,0.05,0.8214285714285714,0.9583333333333334,0.8846153846153846
randomforest,0.1,0.92,0.9583333333333334,0.9387755102040817
randomforest,0.15,0.9565217391304348,0.9166666666666666,0.9361702127659575
randomforest,0.2,0.9555555555555556,0.8958333333333334,0.9247311827956989
randomforest,0.25,0.9545454545454546,0.875,0.9130434782608695
randomforest,0.3,0.975609756097561,0.8333333333333334,0.898876404494382
randomforest,0.35,1.0,0.8125,0.896551724137931
randomforest,0.4,1.0,0.7291666666666666,0.8433734939759037
randomforest,0.45,1.0,0.7291666666666666,0.8433734939759037
randomforest,0.5,1.0,0.6875,0.8148148148148148
randomforest,0.55,1.0,0.6666666666666666,0.8
randomforest,0.6,1.0,0.6041666666666666,0.7532467532467533
randomforest,0.65,1.0,0.5416666666666666,0.7027027027027027
randomforest,0.7,1.0,0.4375,0.6086956521739131
randomforest,0.75,1.0,0.4166666666666667,0.5882352941176471
randomforest,0.8,1.0,0.3541666666666667,0.5230769230769231
catboost,0.05,0.8363636363636363,0.9583333333333334,0.8932038834951457
catboost,0.1,0.9019607843137255,0.9583333333333334,0.9292929292929293
catboost,0.15,0.9375,0.9375,0.9375
catboost,0.2,0.9574468085106383,0.9375,0.9473684210526315
catboost,0.25,0.9565217391304348,0.9166666666666666,0.9361702127659575
catboost,0.3,0.9772727272727273,0.8958333333333334,0.9347826086956522
catboost,0.35,0.9767441860465116,0.875,0.9230769230769231
catboost,0.4,0.975,0.8125,0.8863636363636364
catboost,0.45,1.0,0.8125,0.896551724137931
catboost,0.5,1.0,0.8125,0.896551724137931
catboost,0.55,1.0,0.7916666666666666,0.8837209302325582
catboost,0.6,1.0,0.7916666666666666,0.8837209302325582
catboost,0.65,1.0,0.7916666666666666,0.8837209302325582
catboost,0.7,1.0,0.75,0.8571428571428571
catboost,0.75,1.0,0.7083333333333334,0.8292682926829268
catboost,0.8,1.0,0.6666666666666666,0.8
