task,model_name,mae,rmse,r2,mae_cells,rmse_cells,rmsle_cells,selected_threshold,threshold,accuracy,precision,recall,f1,confusion_matrix,classification_report,roc_auc,pr_auc
regression,lightgbm,0.7767578994297276,0.9827425894839134,0.6426993317451736,7620.413540695465,23179.477052613114,,,,,,,,,,,
regression,xgboost,0.799441795691458,0.9910440612715554,0.6366374204515437,8257.93137923423,23522.48157168324,,,,,,,,,,,
regression,hist_gradient_boosting,0.7973057251382419,0.9989727680657389,0.6308001020866956,7751.272052219894,23109.044677510043,,,,,,,,,,,
regression,randomforest,0.782479387187547,0.9494763985109596,0.6664794327628385,7945.348659572254,22938.45440206291,2.1862502013610094,,,,,,,,,,
regression,catboost,0.8431796952496616,1.0001953053216623,0.6298958996282901,8430.86365512838,23894.171632067657,,,,,,,,,,,
classification,lightgbm,,,,,,,0.1,0.1,0.8962264150943396,0.9428571428571428,0.7857142857142857,0.8571428571428571,"[[62, 2], [9, 33]]","{'0': {'precision': 0.8732394366197183, 'recall': 0.96875, 'f1-score': 0.9185185185185185, 'support': 64.0}, '1': {'precision': 0.9428571428571428, 'recall': 0.7857142857142857, 'f1-score': 0.8571428571428571, 'support': 42.0}, 'accuracy': 0.8962264150943396, 'macro avg': {'precision': 0.9080482897384305, 'recall': 0.8772321428571428, 'f1-score': 0.8878306878306879, 'support': 106.0}, 'weighted avg': {'precision': 0.9008238107892639, 'recall': 0.8962264150943396, 'f1-score': 0.8941998602375961, 'support': 106.0}}",0.9438244047619048,0.9444109700112873
classification,xgboost,,,,,,,0.1,0.1,0.8867924528301887,0.9411764705882353,0.7619047619047619,0.8421052631578947,"[[62, 2], [10, 32]]","{'0': {'precision': 0.8611111111111112, 'recall': 0.96875, 'f1-score': 0.9117647058823529, 'support': 64.0}, '1': {'precision': 0.9411764705882353, 'recall': 0.7619047619047619, 'f1-score': 0.8421052631578947, 'support': 42.0}, 'accuracy': 0.8867924528301887, 'macro avg': {'precision': 0.9011437908496732, 'recall': 0.8653273809523809, 'f1-score': 0.8769349845201238, 'support': 106.0}, 'weighted avg': {'precision': 0.8928351214699717, 'recall': 0.8867924528301887, 'f1-score': 0.8841637946141714, 'support': 106.0}}",0.9594494047619047,0.9540964027552511
classification,hist_gradient_boosting,,,,,,,0.1,0.1,0.8867924528301887,0.96875,0.7380952380952381,0.8378378378378378,"[[63, 1], [11, 31]]","{'0': {'precision': 0.8513513513513513, 'recall': 0.984375, 'f1-score': 0.9130434782608695, 'support': 64.0}, '1': {'precision': 0.96875, 'recall': 0.7380952380952381, 'f1-score': 0.8378378378378378, 'support': 42.0}, 'accuracy': 0.8867924528301887, 'macro avg': {'precision': 0.9100506756756757, 'recall': 0.8612351190476191, 'f1-score': 0.8754406580493537, 'support': 106.0}, 'weighted avg': {'precision': 0.8978677970423253, 'recall': 0.8867924528301887, 'f1-score': 0.8832450169611776, 'support': 106.0}}",0.950892857142857,0.9477192087922819
classification,randomforest,,,,,,,0.15,0.15,0.9245283018867925,0.925,0.8809523809523809,0.9024390243902439,"[[61, 3], [5, 37]]","{'0': {'precision': 0.9242424242424242, 'recall': 0.953125, 'f1-score': 0.9384615384615385, 'support': 64.0}, '1': {'precision': 0.925, 'recall': 0.8809523809523809, 'f1-score': 0.9024390243902439, 'support': 42.0}, 'accuracy': 0.9245283018867925, 'macro avg': {'precision': 0.9246212121212121, 'recall': 0.9170386904761905, 'f1-score': 0.9204502814258912, 'support': 106.0}, 'weighted avg': {'precision': 0.9245425957690109, 'recall': 0.9245283018867925, 'f1-score': 0.9241884668483841, 'support': 106.0}}",0.9527529761904762,0.946762346269473
classification,catboost,,,,,,,0.1,0.1,0.9056603773584906,0.8636363636363636,0.9047619047619048,0.8837209302325582,"[[58, 6], [4, 38]]","{'0': {'precision': 0.9354838709677419, 'recall': 0.90625, 'f1-score': 0.9206349206349206, 'support': 64.0}, '1': {'precision': 0.8636363636363636, 'recall': 0.9047619047619048, 'f1-score': 0.8837209302325582, 'support': 42.0}, 'accuracy': 0.9056603773584906, 'macro avg': {'precision': 0.8995601173020528, 'recall': 0.9055059523809523, 'f1-score': 0.9021779254337394, 'support': 106.0}, 'weighted avg': {'precision': 0.9070159907043656, 'recall': 0.9056603773584906, 'f1-score': 0.9060086225509656, 'support': 106.0}}",0.9624255952380951,0.9569981914424954
