task,model_name,mae,rmse,r2,mae_cells,rmse_cells,rmsle_cells,selected_threshold,threshold,accuracy,precision,recall,f1,confusion_matrix,classification_report,roc_auc,pr_auc
regression,lightgbm,0.7712213721128459,0.9555274725435743,0.6729538663667918,5155.716323463801,9141.969685750339,,,,,,,,,,,
regression,xgboost,0.8015376062426002,0.9551982459054201,0.673179194791071,5308.3095223020355,9452.200420445071,,,,,,,,,,,
regression,hist_gradient_boosting,0.7646405102691747,0.9384766924349305,0.6845215884612434,5087.310432078606,9008.082000663278,,,,,,,,,,,
regression,randomforest,0.7560402360498094,0.8953305291631373,0.7128628073554635,5175.314376321618,9138.845917704743,2.0615747297535107,,,,,,,,,,
regression,catboost,0.836636225455565,0.972210838332224,0.6614338150551549,5476.959589275086,9684.181495857974,,,,,,,,,,,
classification,lightgbm,,,,,,,0.05,0.05,0.9523809523809523,0.9375,0.9574468085106383,0.9473684210526315,"[[55, 3], [2, 45]]","{'0': {'precision': 0.9649122807017544, 'recall': 0.9482758620689655, 'f1-score': 0.9565217391304348, 'support': 58.0}, '1': {'precision': 0.9375, 'recall': 0.9574468085106383, 'f1-score': 0.9473684210526315, 'support': 47.0}, 'accuracy': 0.9523809523809523, 'macro avg': {'precision': 0.9512061403508771, 'recall': 0.9528613352898019, 'f1-score': 0.9519450800915332, 'support': 105.0}, 'weighted avg': {'precision': 0.9526420217209691, 'recall': 0.9523809523809523, 'f1-score': 0.9524245396098944, 'support': 105.0}}",0.9897285399853265,0.9851760276651956
classification,xgboost,,,,,,,0.05,0.05,0.9428571428571428,0.9361702127659575,0.9361702127659575,0.9361702127659575,"[[55, 3], [3, 44]]","{'0': {'precision': 0.9482758620689655, 'recall': 0.9482758620689655, 'f1-score': 0.9482758620689655, 'support': 58.0}, '1': {'precision': 0.9361702127659575, 'recall': 0.9361702127659575, 'f1-score': 0.9361702127659575, 'support': 47.0}, 'accuracy': 0.9428571428571428, 'macro avg': {'precision': 0.9422230374174615, 'recall': 0.9422230374174615, 'f1-score': 0.9422230374174615, 'support': 105.0}, 'weighted avg': {'precision': 0.9428571428571428, 'recall': 0.9428571428571428, 'f1-score': 0.9428571428571428, 'support': 105.0}}",0.9908290535583272,0.9880139242047982
classification,hist_gradient_boosting,,,,,,,0.05,0.05,0.9238095238095239,0.9534883720930233,0.8723404255319149,0.9111111111111111,"[[56, 2], [6, 41]]","{'0': {'precision': 0.9032258064516129, 'recall': 0.9655172413793104, 'f1-score': 0.9333333333333333, 'support': 58.0}, '1': {'precision': 0.9534883720930233, 'recall': 0.8723404255319149, 'f1-score': 0.9111111111111111, 'support': 47.0}, 'accuracy': 0.9238095238095239, 'macro avg': {'precision': 0.9283570892723181, 'recall': 0.9189288334556127, 'f1-score': 0.9222222222222223, 'support': 105.0}, 'weighted avg': {'precision': 0.9257242882149109, 'recall': 0.9238095238095239, 'f1-score': 0.9233862433862433, 'support': 105.0}}",0.9930300807043286,0.9913885565596633
classification,randomforest,,,,,,,0.1,0.1,0.9333333333333333,0.8703703703703703,1.0,0.9306930693069307,"[[51, 7], [0, 47]]","{'0': {'precision': 1.0, 'recall': 0.8793103448275862, 'f1-score': 0.9357798165137615, 'support': 58.0}, '1': {'precision': 0.8703703703703703, 'recall': 1.0, 'f1-score': 0.9306930693069307, 'support': 47.0}, 'accuracy': 0.9333333333333333, 'macro avg': {'precision': 0.9351851851851851, 'recall': 0.9396551724137931, 'f1-score': 0.9332364429103461, 'support': 105.0}, 'weighted avg': {'precision': 0.9419753086419753, 'recall': 0.9333333333333333, 'f1-score': 0.933502891573561, 'support': 105.0}}",0.9891782831988261,0.9854796760558343
classification,catboost,,,,,,,0.1,0.1,0.9619047619047619,0.9215686274509803,1.0,0.9591836734693877,"[[54, 4], [0, 47]]","{'0': {'precision': 1.0, 'recall': 0.9310344827586207, 'f1-score': 0.9642857142857143, 'support': 58.0}, '1': {'precision': 0.9215686274509803, 'recall': 1.0, 'f1-score': 0.9591836734693877, 'support': 47.0}, 'accuracy': 0.9619047619047619, 'macro avg': {'precision': 0.9607843137254901, 'recall': 0.9655172413793103, 'f1-score': 0.9617346938775511, 'support': 105.0}, 'weighted avg': {'precision': 0.9648926237161531, 'recall': 0.9619047619047619, 'f1-score': 0.9620019436345967, 'support': 105.0}}",0.9937637564196625,0.9920845397723568
