task,model_name,mae,rmse,r2,mae_cells,rmse_cells,rmsle_cells,selected_threshold,threshold,accuracy,precision,recall,f1,confusion_matrix,classification_report,roc_auc,pr_auc
regression,lightgbm,0.8235399895698495,1.010228191733308,0.6224336852757406,7813.38977994525,23264.26507699067,,,,,,,,,,,
regression,xgboost,0.7986477138356002,1.0062905857327133,0.6253712591819338,7859.245068029256,22821.11664172599,,,,,,,,,,,
regression,hist_gradient_boosting,0.8418086358356678,1.0272993066740899,0.6095654308699122,7909.732575218511,23286.70664292935,,,,,,,,,,,
regression,randomforest,0.8101931824521698,0.9728565379554225,0.6498518171088163,8092.719728130138,23319.84442598964,2.240084961917952,,,,,,,,,,
regression,catboost,0.8223631902163175,0.9902153187711699,0.6372448770028205,8134.331261377462,23576.128336567985,,,,,,,,,,,
classification,lightgbm,,,,,,,0.1,0.1,0.9056603773584906,0.9705882352941176,0.7857142857142857,0.868421052631579,"[[63, 1], [9, 33]]","{'0': {'precision': 0.875, 'recall': 0.984375, 'f1-score': 0.9264705882352942, 'support': 64.0}, '1': {'precision': 0.9705882352941176, 'recall': 0.7857142857142857, 'f1-score': 0.868421052631579, 'support': 42.0}, 'accuracy': 0.9056603773584906, 'macro avg': {'precision': 0.9227941176470589, 'recall': 0.8850446428571428, 'f1-score': 0.8974458204334366, 'support': 106.0}, 'weighted avg': {'precision': 0.9128745837957825, 'recall': 0.9056603773584906, 'f1-score': 0.9034698288451428, 'support': 106.0}}",0.9371279761904762,0.9412634735137334
classification,xgboost,,,,,,,0.05,0.05,0.9056603773584906,0.9444444444444444,0.8095238095238095,0.8717948717948718,"[[62, 2], [8, 34]]","{'0': {'precision': 0.8857142857142857, 'recall': 0.96875, 'f1-score': 0.9253731343283582, 'support': 64.0}, '1': {'precision': 0.9444444444444444, 'recall': 0.8095238095238095, 'f1-score': 0.8717948717948718, 'support': 42.0}, 'accuracy': 0.9056603773584906, 'macro avg': {'precision': 0.915079365079365, 'recall': 0.8891369047619048, 'f1-score': 0.898584003061615, 'support': 106.0}, 'weighted avg': {'precision': 0.9089847259658579, 'recall': 0.9056603773584906, 'f1-score': 0.9041440114377315, 'support': 106.0}}",0.9601934523809523,0.9552199592650354
classification,hist_gradient_boosting,,,,,,,0.05,0.05,0.8962264150943396,0.9696969696969697,0.7619047619047619,0.8533333333333334,"[[63, 1], [10, 32]]","{'0': {'precision': 0.863013698630137, 'recall': 0.984375, 'f1-score': 0.9197080291970803, 'support': 64.0}, '1': {'precision': 0.9696969696969697, 'recall': 0.7619047619047619, 'f1-score': 0.8533333333333334, 'support': 42.0}, 'accuracy': 0.8962264150943396, 'macro avg': {'precision': 0.9163553341635533, 'recall': 0.8731398809523809, 'f1-score': 0.8865206812652069, 'support': 106.0}, 'weighted avg': {'precision': 0.9052844286754858, 'recall': 0.8962264150943396, 'f1-score': 0.8934086214020107, 'support': 106.0}}",0.9516369047619047,0.9501240875591166
classification,randomforest,,,,,,,0.05,0.05,0.8867924528301887,0.8125,0.9285714285714286,0.8666666666666667,"[[55, 9], [3, 39]]","{'0': {'precision': 0.9482758620689655, 'recall': 0.859375, 'f1-score': 0.9016393442622951, 'support': 64.0}, '1': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666667, 'support': 42.0}, 'accuracy': 0.8867924528301887, 'macro avg': {'precision': 0.8803879310344828, 'recall': 0.8939732142857143, 'f1-score': 0.8841530054644808, 'support': 106.0}, 'weighted avg': {'precision': 0.8944778789850358, 'recall': 0.8867924528301887, 'f1-score': 0.8877822455923291, 'support': 106.0}}",0.9642857142857143,0.9572337776446829
classification,catboost,,,,,,,0.1,0.1,0.9056603773584906,0.8636363636363636,0.9047619047619048,0.8837209302325582,"[[58, 6], [4, 38]]","{'0': {'precision': 0.9354838709677419, 'recall': 0.90625, 'f1-score': 0.9206349206349206, 'support': 64.0}, '1': {'precision': 0.8636363636363636, 'recall': 0.9047619047619048, 'f1-score': 0.8837209302325582, 'support': 42.0}, 'accuracy': 0.9056603773584906, 'macro avg': {'precision': 0.8995601173020528, 'recall': 0.9055059523809523, 'f1-score': 0.9021779254337394, 'support': 106.0}, 'weighted avg': {'precision': 0.9070159907043656, 'recall': 0.9056603773584906, 'f1-score': 0.9060086225509656, 'support': 106.0}}",0.9613095238095238,0.956431552551589
