feature,importance
log_target,1.3356165877981228
rain_7d_sum_x_robust,0.7656927596211951
outflow_7d_sum_robust,0.49575135569286405
level_change_7d_robust,0.4267017430096486
microcystis_ratio,0.2908670427403182
sin_season_minmax,0.08828073635644965
aphanizomenon_ratio,0.05684299679857772
hot_days_30c_7d,0.042786045850480535
inflow_robust,0.040306782980718346
inflow_7d_sum_robust,0.03724549190136266
nutrient_stagnation_index_robust,0.0254183012629448
oscillatoria_ratio,0.019589914829125265
air_temp_7d_mean_minmax,0.018573374061521285
rain_3d_sum_robust,0.017685962926261744
anabaena_ratio,0.016325704920426176
alert_encoded,0.015198208834343285
Microcystis_log10p1_robust,0.014305625696808133
water_temp_minmax,0.01337942278598816
DO_minmax,0.01294416967388099
sunshine_7d_sum_minmax,0.011173755531902141
residence_proxy_robust,0.010985069020478844
daily_rain_robust,0.0108987230096099
cyano_cells_log10p1_robust,0.010711565121820166
water_level_minmax,0.009116052981238942
Aphanizomenon_log10p1_robust,0.008523570486997145
cloud_7d_mean_minmax,0.006135631733755242
Oscillatoria_log10p1_robust,0.004631562132079758
cloud_cover_minmax,0.003243479899114243
cos_season_minmax,0.0026986581369154326
avg_wind_minmax,0.002585598743805062
max_wind_gust_minmax,0.0018409410155127315
solar_7d_sum_minmax,0.0014183616340770922
wind_7d_mean_minmax,0.00129115866996119
TSI_SD_minmax,0.0011237121932934802
Chl_a_log10p1_robust,0.0010108542314677838
storage_vol_minmax,0.0004559799664332509
turbidity_log10p1_robust,0.0004178727129656501
sunshine_minmax,0.00038782086543818204
acc_temp_7d_minmax,0.00030770264241926083
station,0.0002357852049903242
storage_rate_minmax,7.046013968354803e-05
Anabaena_log10p1_robust,5.5348443979852394e-05
low_wind_days_2ms_7d,4.291183201234894e-05
avg_temp_minmax,0.0
station_648,0.0
station_888,0.0
loc_1,0.0
loc_2,0.0
transparency_minmax,0.0
min_temp_minmax,0.0
max_temp_minmax,0.0
solar_rad_minmax,0.0
TSI_Chla_minmax,0.0
station_643,-2.572086254177819e-05
station_604,-4.6220492954351934e-05
outflow_robust,-0.0003874559436486402
loc_0,-0.0005173021015189461
rainfall_robust,-0.0007616992847346404
loc_encoded,-0.0008713304474966543
rain_14d_sum_robust,-0.0015294785434706525
rain_7d_sum_y_robust,-0.0026882021360699728
pH_minmax,-0.003005853424393501
