workflow,model_name,threshold,precision,recall,f1,predicted_positive
non_tree,logistic_regression,0.1,0.8555729984301413,0.9945255474452555,0.919831223628692,637
non_tree,logistic_regression,0.15,0.8760064412238325,0.9927007299270073,0.93071000855432,621
non_tree,logistic_regression,0.2,0.8874388254486134,0.9927007299270073,0.9371231696813093,613
non_tree,logistic_regression,0.25,0.9036544850498339,0.9927007299270073,0.9460869565217391,602
non_tree,logistic_regression,0.3,0.9183673469387755,0.9854014598540146,0.9507042253521126,588
non_tree,logistic_regression,0.35,0.9230769230769231,0.9854014598540146,0.9532215357458076,585
non_tree,logistic_regression,0.4,0.9325259515570934,0.9835766423357665,0.9573712255772646,578
non_tree,logistic_regression,0.45,0.9367311072056239,0.9726277372262774,0.954341987466428,569
non_tree,logistic_regression,0.5,0.942652329749104,0.9598540145985401,0.9511754068716094,558
non_tree,logistic_regression,0.55,0.9493670886075949,0.958029197080292,0.9536784741144414,553
non_tree,logistic_regression,0.6,0.9525547445255474,0.9525547445255474,0.9525547445255474,548
non_tree,logistic_regression,0.65,0.9575645756457565,0.9470802919708029,0.9522935779816514,542
non_tree,logistic_regression,0.7,0.9640151515151515,0.9288321167883211,0.9460966542750929,528
non_tree,logistic_regression,0.75,0.9653179190751445,0.9142335766423357,0.9390815370196813,519
non_tree,logistic_regression,0.8,0.9681908548707754,0.8886861313868614,0.9267364414843007,503
non_tree,logistic_regression,0.85,0.975,0.8540145985401459,0.9105058365758755,480
non_tree,logistic_regression,0.9,0.9796380090497737,0.7901459854014599,0.8747474747474747,442
non_tree,svc_rbf,0.1,0.7135416666666666,1.0,0.8328267477203647,768
non_tree,svc_rbf,0.15,0.7833089311859444,0.9762773722627737,0.8692120227457352,683
non_tree,svc_rbf,0.2,0.8251633986928104,0.9215328467153284,0.8706896551724138,612
non_tree,svc_rbf,0.25,0.8426573426573427,0.8795620437956204,0.8607142857142858,572
non_tree,svc_rbf,0.3,0.8715415019762845,0.8047445255474452,0.8368121442125237,506
non_tree,svc_rbf,0.35,0.8871681415929203,0.7317518248175182,0.802,452
non_tree,svc_rbf,0.4,0.888095238095238,0.6806569343065694,0.7706611570247934,420
non_tree,svc_rbf,0.45,0.8926701570680629,0.6222627737226277,0.7333333333333333,382
non_tree,svc_rbf,0.5,0.8847352024922118,0.5182481751824818,0.6536248561565017,321
non_tree,svc_rbf,0.55,0.8577777777777778,0.3521897810218978,0.49935316946959896,225
non_tree,svc_rbf,0.6,0.8308823529411765,0.2062043795620438,0.3304093567251462,136
non_tree,svc_rbf,0.65,0.7808219178082192,0.10401459854014598,0.18357487922705315,73
non_tree,svc_rbf,0.7,0.6739130434782609,0.05656934306569343,0.10437710437710437,46
non_tree,svc_rbf,0.75,0.5454545454545454,0.032846715328467155,0.06196213425129088,33
non_tree,svc_rbf,0.8,0.45454545454545453,0.01824817518248175,0.03508771929824561,22
non_tree,svc_rbf,0.85,0.375,0.010948905109489052,0.02127659574468085,16
non_tree,svc_rbf,0.9,0.3333333333333333,0.0072992700729927005,0.014285714285714285,12
non_tree,knn_classifier,0.1,0.8073701842546064,0.8795620437956204,0.8419213973799127,597
non_tree,knn_classifier,0.15,0.810580204778157,0.8667883211678832,0.8377425044091711,586
non_tree,knn_classifier,0.2,0.8479087452471483,0.8138686131386861,0.8305400372439479,526
non_tree,knn_classifier,0.25,0.8628230616302187,0.791970802919708,0.8258801141769743,503
non_tree,knn_classifier,0.3,0.8881856540084389,0.7682481751824818,0.8238747553816047,474
non_tree,knn_classifier,0.35,0.9073634204275535,0.6970802919708029,0.7884416924664602,421
non_tree,knn_classifier,0.4,0.9273182957393483,0.6751824817518248,0.781414994720169,399
non_tree,knn_classifier,0.45,0.9473684210526315,0.6240875912408759,0.7524752475247525,361
non_tree,knn_classifier,0.5,0.9528023598820059,0.5894160583941606,0.7282976324689966,339
non_tree,knn_classifier,0.55,0.9634551495016611,0.5291970802919708,0.6831566548881036,301
non_tree,knn_classifier,0.6,0.9575289575289575,0.45255474452554745,0.6146220570012392,259
non_tree,knn_classifier,0.65,0.9585062240663901,0.4215328467153285,0.5855513307984791,241
non_tree,knn_classifier,0.7,0.9944444444444445,0.3266423357664234,0.49175824175824173,180
non_tree,knn_classifier,0.75,1.0,0.30474452554744524,0.4671328671328671,167
non_tree,knn_classifier,0.8,1.0,0.23722627737226276,0.3834808259587021,130
non_tree,knn_classifier,0.85,1.0,0.15328467153284672,0.26582278481012656,84
non_tree,knn_classifier,0.9,1.0,0.09671532846715329,0.17637271214642264,53
