workflow,model_name,feature,mean_abs_shap
tree,xgboost,cyano_cells,2.3468814
tree,xgboost,sin_season,0.78330135
tree,xgboost,turbidity,0.7347689
tree,xgboost,acc_temp_7d,0.67394364
tree,xgboost,water_temp,0.47758454
tree,xgboost,log_target,0.29896808
tree,xgboost,Microcystis,0.29021674
tree,xgboost,cos_season,0.28295356
tree,xgboost,Chl_a,0.23636441
tree,xgboost,cloud_cover,0.19196244
tree,xgboost,water_level,0.17782855
tree,xgboost,Oscillatoria,0.16931523
tree,xgboost,level_change_7d,0.104834504
tree,xgboost,DO,0.10291966
tree,xgboost,oscillatoria_ratio,0.10249826
tree,xgboost,pH,0.10171866
tree,xgboost,min_temp,0.09564418
tree,xgboost,Aphanizomenon,0.09441734
tree,xgboost,inflow_7d_sum,0.0910541
tree,xgboost,avg_temp,0.078491084
tree,xgboost,alert_encoded,0.07847713
tree,xgboost,rain_7d_sum_x,0.07719829
tree,xgboost,nutrient_stagnation_index,0.07323568
tree,xgboost,inflow,0.070713684
tree,xgboost,aphanizomenon_ratio,0.06845186
tree,xgboost,outflow,0.06824689
tree,xgboost,solar_7d_sum,0.064718895
tree,xgboost,air_temp_7d_mean,0.06464034
tree,xgboost,rainfall,0.061892744
tree,xgboost,loc_encoded,0.06176593
tree,xgboost,residence_proxy,0.056172635
tree,xgboost,sunshine,0.05336151
tree,xgboost,storage_vol,0.052252255
tree,xgboost,microcystis_ratio,0.051821634
tree,xgboost,transparency,0.048318345
tree,xgboost,outflow_7d_sum,0.045709014
tree,xgboost,cloud_7d_mean,0.037440713
tree,xgboost,sunshine_7d_sum,0.037134215
tree,xgboost,Anabaena,0.03544164
tree,xgboost,max_temp,0.023804858
tree,xgboost,solar_rad,0.022356417
tree,xgboost,TSI_Chla,0.015771816
tree,xgboost,rain_14d_sum,0.015339357
tree,xgboost,TSI_SD,0.014270721
tree,xgboost,anabaena_ratio,0.013166036
tree,xgboost,rain_7d_sum_y,0.0094814375
tree,xgboost,wind_7d_mean,0.0092330165
tree,xgboost,daily_rain,0.008597904
tree,xgboost,max_wind_gust,0.007494344
tree,xgboost,avg_wind,0.0068409694
tree,xgboost,rain_3d_sum,0.0046288036
tree,xgboost,storage_rate,0.0038317053
tree,xgboost,hot_days_30c_7d,0.0019563762
tree,xgboost,station,0.0
tree,xgboost,low_wind_days_2ms_7d,0.0
