iter	Passed	Remaining
0	3	3742
1	6	3424
2	9	3229
3	12	3182
4	16	3226
5	19	3255
6	22	3248
7	25	3207
8	28	3180
9	31	3116
10	34	3098
11	37	3103
12	40	3094
13	43	3086
14	46	3051
15	49	3020
16	52	3016
17	54	2993
18	57	2968
19	59	2937
20	62	2912
21	65	2918
22	68	2930
23	71	2921
24	74	2907
25	77	2898
26	80	2892
27	83	2894
28	86	2884
29	88	2865
30	91	2847
31	93	2835
32	96	2821
33	99	2815
34	101	2809
35	104	2797
36	106	2782
37	109	2775
38	112	2771
39	116	2789
40	120	2808
41	123	2820
42	126	2816
43	129	2817
44	132	2816
45	135	2813
46	138	2807
47	141	2805
48	144	2798
49	147	2801
50	151	2815
51	154	2820
52	157	2821
53	160	2819
54	164	2819
55	166	2813
56	169	2808
57	172	2806
58	176	2809
59	179	2817
60	183	2824
61	187	2830
62	190	2833
63	193	2831
64	196	2830
65	200	2830
66	203	2826
67	206	2831
68	209	2829
69	213	2831
70	216	2835
71	220	2839
72	223	2836
73	226	2835
74	229	2836
75	233	2837
76	236	2838
77	240	2840
78	244	2845
79	247	2845
80	250	2837
81	253	2832
82	256	2828
83	259	2826
84	261	2820
85	264	2810
86	267	2803
87	270	2799
88	273	2794
89	276	2796
90	279	2791
91	282	2783
92	284	2778
93	287	2771
94	290	2768
95	293	2762
96	296	2756
97	298	2749
98	301	2745
99	304	2739
100	307	2740
101	311	2741
102	314	2738
103	317	2732
104	319	2725
105	322	2724
106	326	2728
107	330	2728
108	333	2723
109	335	2716
110	338	2713
111	341	2710
112	344	2707
113	347	2702
114	351	2701
115	354	2702
116	357	2700
117	361	2701
118	364	2700
119	368	2699
120	371	2698
121	374	2697
122	377	2694
123	381	2695
124	384	2694
125	388	2697
126	392	2697
127	395	2694
128	398	2692
129	401	2689
130	405	2686
131	408	2683
132	411	2681
133	415	2682
134	418	2682
135	422	2681
136	425	2677
137	427	2672
138	430	2668
139	434	2666
140	438	2670
141	441	2669
142	445	2668
143	448	2667
144	452	2666
145	456	2668
146	459	2666
147	462	2664
148	465	2661
149	469	2659
150	472	2656
151	475	2653
152	478	2650
153	481	2646
154	484	2643
155	488	2640
156	491	2636
157	494	2633
158	496	2628
159	500	2625
160	503	2625
161	506	2622
162	510	2622
163	513	2620
164	517	2616
165	519	2611
166	522	2604
167	524	2598
168	527	2593
169	529	2587
170	533	2585
171	536	2582
172	539	2578
173	542	2575
174	545	2572
175	548	2570
176	552	2567
177	554	2561
178	557	2556
179	560	2554
180	564	2553
181	567	2551
182	570	2547
183	573	2545
184	577	2544
185	580	2541
186	584	2540
187	588	2540
188	591	2539
189	594	2535
190	598	2533
191	600	2528
192	603	2525
193	606	2521
194	609	2517
195	612	2513
196	615	2509
197	618	2504
198	620	2499
199	624	2497
200	627	2495
201	631	2494
202	634	2490
203	636	2485
204	639	2480
205	642	2476
206	645	2472
207	648	2468
208	651	2463
209	653	2459
210	656	2454
211	659	2449
212	662	2447
213	665	2442
214	667	2437
215	670	2432
216	673	2428
217	675	2424
218	679	2421
219	682	2418
220	684	2413
221	687	2409
222	690	2406
223	694	2404
224	697	2402
225	700	2399
226	703	2396
227	706	2391
228	709	2388
229	712	2385
230	715	2380
231	717	2375
232	720	2372
233	723	2368
234	727	2366
235	731	2366
236	734	2364
237	737	2362
238	741	2360
239	744	2358
240	748	2356
241	751	2353
242	754	2350
243	757	2346
244	761	2345
245	764	2343
246	767	2339
247	770	2335
248	773	2332
249	776	2329
250	779	2325
251	781	2320
252	784	2317
253	787	2312
254	791	2311
255	794	2308
256	797	2306
257	801	2303
258	803	2299
259	807	2297
260	810	2293
261	812	2288
262	815	2283
263	817	2279
264	820	2275
265	823	2273
266	827	2271
267	830	2268
268	833	2265
269	836	2261
270	839	2257
271	841	2253
272	844	2248
273	847	2244
274	850	2240
275	853	2239
276	857	2237
277	859	2233
278	862	2228
279	865	2225
280	868	2221
281	871	2218
282	874	2214
283	876	2210
284	879	2206
285	882	2202
286	885	2199
287	889	2198
288	892	2196
289	896	2194
290	899	2190
291	902	2187
292	905	2184
293	907	2180
294	910	2176
295	913	2173
296	916	2169
297	919	2166
298	922	2163
299	926	2161
300	929	2159
301	932	2155
302	935	2152
303	938	2148
304	941	2144
305	944	2141
306	947	2137
307	950	2136
308	954	2133
309	957	2131
310	961	2129
311	964	2126
312	967	2123
313	970	2120
314	973	2117
315	977	2114
316	980	2111
317	983	2109
318	986	2105
319	989	2101
320	991	2098
321	994	2094
322	997	2090
323	1000	2087
324	1003	2083
325	1005	2079
326	1008	2075
327	1011	2072
328	1014	2069
329	1017	2066
330	1021	2063
331	1024	2060
332	1027	2058
333	1031	2056
334	1034	2053
335	1037	2050
336	1040	2047
337	1043	2043
338	1046	2040
