,count,mean,std,min,25%,50%,75%,max,zero_pct
water_temp,6304.0,15.841434010152284,7.194328700499141,3.3,9.0,16.0,22.5,29.9,0.0
pH,6304.0,7.872842639593908,0.5569446266321734,5.9,7.5,7.8,8.2,10.9,0.0
DO,6304.0,8.785215736040609,2.668994564590962,1.8,6.6,9.05,11.1,13.7,0.0
transparency,6304.0,2.8809327411167516,1.1962431351956175,0.2,2.0,2.8,3.7,8.3,0.0
turbidity,6304.0,4.5128426395939085,7.62369453934923,0.8,1.8,2.5,4.2,123.0,0.0
Chl_a,6304.0,7.598001269035533,6.1711722885429845,1.2,3.8,5.75,9.1,60.7,0.0
cyano_cells,6304.0,3078.4942893401017,11290.88993158704,0.0,0.0,92.0,896.5,206126.0,40.7994923857868
Microcystis,6304.0,2613.4187817258885,10845.855869876033,0.0,0.0,0.0,599.0,205340.0,61.35786802030457
Anabaena,6304.0,64.76015228426395,300.35175246742006,0.0,0.0,0.0,0.0,5614.0,78.36294416243655
Oscillatoria,6304.0,185.58946700507613,854.215139904454,0.0,0.0,0.0,0.0,16260.0,77.98223350253807
Aphanizomenon,6304.0,214.7258883248731,1441.5721474969848,0.0,0.0,0.0,102.25,28732.0,56.598984771573605
acc_temp_7d,6304.0,110.32538071065989,49.41686663247585,7.9,63.6,111.9,155.425,200.4,0.0
TSI_Chla,6304.0,48.22332450399529,6.43131350381516,32.3885744721487,43.69636046464426,47.759279673187066,52.26317199665871,70.87930767802209,0.0
TSI_SD,6304.0,46.272712267799214,7.24665910952492,29.50475803169522,41.14692406884092,45.16318419841952,50.01174912813119,83.19200031817539,0.0
microcystis_ratio,6304.0,0.28655786421208307,0.39541765365638504,0.0,0.0,0.0,0.6847661024482388,0.9999761910430705,61.35786802030457
anabaena_ratio,6304.0,0.05624844997943996,0.18023725853158917,0.0,0.0,0.0,0.0,0.998963730569948,78.36294416243655
oscillatoria_ratio,6304.0,0.043098132920546324,0.13705245540594913,0.0,0.0,0.0,0.0,0.999671592775041,77.98223350253807
aphanizomenon_ratio,6304.0,0.202643945794548,0.3582068261863469,0.0,0.0,0.0,0.17842751842751842,0.9993618379068284,56.598984771573605
water_level,6304.0,72.67427969543147,2.12180008088412,66.09,71.27,72.7316,74.39,77.4476,0.0
storage_vol,6304.0,955.2092196065988,118.03965419131062,611.195,876.2625499999999,950.9158,1050.6689,1258.4823,0.0
storage_rate,6304.0,64.1030774111675,7.922089685270761,41.0,58.815,63.769999999999996,70.51,84.46,0.0
inflow,6304.0,3.989423223350254,12.173391825288142,0.0,0.0,0.0,0.966925,115.6252,57.4238578680203
outflow,6304.0,74.56664467005076,198.17854629317026,4.729,16.26725,24.496,52.056749999999994,2882.408,0.0
rainfall,6304.0,73.05667385786802,188.65299173156686,19.333,31.161,33.2795,54.684,2999.081,0.0
level_change_7d,6304.0,0.030573794416243586,0.8053618508844552,-3.432600000000008,-0.22019999999999834,-0.1200000000000045,0.0435999999999978,7.049999999999997,0.5710659898477157
rain_7d_sum_x,6304.0,517.3335196700509,1160.5987321557895,133.988,219.34550000000024,239.45100000000025,393.7720000000003,15917.892,0.0
inflow_7d_sum,6304.0,24.60604765228425,41.98149208521631,0.0,0.8428999999999964,7.395749999999989,27.273149999999994,299.128,9.200507614213198
outflow_7d_sum,6304.0,536.9821402284265,1229.8756331006591,45.73500000000034,121.02900000000022,183.901,401.3610000000001,16938.711,0.0
residence_proxy,6304.0,38.37723318392582,25.158461018192963,0.3906994778401114,18.37445343244425,36.859033357891036,53.70275577876505,151.4559259905743,0.0
