조사일,수온,pH,DO,투명도,탁도,Chl_a,유해남조류_세포수,Microcystis,Anabaena,Oscillatoria,Aphanizomenon,acc_temp_7d,TSI_Chla,TSI_SD,microcystis_ratio,anabaena_ratio,oscillatoria_ratio,aphanizomenon_ratio,수위,저수량,저수율,유입량,방류량,강우량,level_change_7d,rain_7d_sum,inflow_7d_sum,outflow_7d_sum,residence_proxy,nutrient_stagnation_index,loc_encoded,alert_encoded,log_target,next_log_cells
2016-04-04,8.8,8.2,13.3,2.9,1.7,4.5,0,0,0,0,0,8.8,45.35499926237525,44.65751827993911,0.0,0.0,0.0,0.0,67.29,664.255,44.6,1.5744,14.068,19.333,-0.04999999999999716,135.579,7.0427,109.22999999999996,44.08382001592779,8.662271825274429,0,0,0.0,0.0
2016-04-11,9.1,7.7,12.1,3.2,1.1,4.4,0,0,0,0,0,17.9,45.13454054646655,43.23899683070014,0.0,0.0,0.0,0.0,67.98,696.142,46.7,0.0,63.217,19.821,0.6899999999999977,136.812,37.7713,505.878,10.840462805799088,10.194893239793403,0,0,0.0,0.0
2016-04-18,12.1,8.2,11.3,2.0,2.5,5.1,0,0,0,0,0,30.0,46.582849694754046,50.011749128131186,0.0,0.0,0.0,0.0,68.52,721.814,48.4,0.688,102.719,19.447,0.539999999999992,137.215,41.0066,434.342,6.959322785603409,12.924828339558324,0,0,0.0,0.0
2016-04-25,14.7,8.3,11.4,2.7,1.8,4.5,0,0,0,0,0,44.7,45.35499926237525,45.687241950921816,0.0,0.0,0.0,0.0,69.76,783.195,52.6,0.0,78.752,19.986,1.240000000000009,133.988,31.3455,844.414,9.820380680108338,4.967886566818151,0,0,0.0,0.0
2016-05-02,14.4,8.2,11.5,2.2,1.7,6.9,0,0,0,0,0,59.1,49.54822504782753,48.638329437150865,0.0,0.0,0.0,0.0,70.28,810.13,54.4,1.9942,53.058,41.082,0.519999999999996,169.584,25.181099999999997,481.33500000000004,14.986310999297052,8.853414457586531,0,0,0.0,0.0
2016-05-09,16.1,8.1,12.2,2.4,1.5,8.8,0,0,0,0,0,75.2,51.93431438775962,47.3844954947303,0.0,0.0,0.0,0.0,70.21,806.512,54.1,0.0,32.096,56.013,-0.07000000000000739,349.93199999999996,13.9799,308.055,24.36886632825719,15.82894425522965,0,0,0.0,0.0
2016-05-16,17.0,8.4,11.4,4.3,1.4,7.4,0,0,0,0,0,92.2,50.23451880206132,38.98135752289996,0.0,0.0,0.0,0.0,70.06,798.79,53.6,7.7333,39.989,51.877,-0.14999999999999147,371.548,37.4393,282.175,19.487911390860962,49.1233231620023,0,0,0.0,0.0
2016-05-23,19.9,8.2,11.9,4.9,1.2,3.3,0,0,0,0,0,103.30000000000001,42.31237941571459,37.09912069427007,0.0,0.0,0.0,0.0,69.46,768.03,51.6,0.0,18.688,76.933,-0.6000000000000085,532.6030000000001,0.0,176.58700000000002,39.01005688744413,0.0,0,0,0.0,0.0
2016-05-30,20.5,8.1,10.6,5.1,2.0,3.2,0,0,0,0,0,114.69999999999999,42.01050944419373,36.522643822486664,0.0,0.0,0.0,0.0,68.82,736.351,49.4,0.0,14.136,76.405,-0.6400000000000006,534.027,15.825700000000001,167.375,48.64898255813954,50.19362193853007,0,0,0.0,0.0
2016-06-07,21.9,8.2,9.6,4.3,2.0,6.7,0,0,0,0,0,124.5,49.259674833953795,38.98135752289996,0.0,0.0,0.0,0.0,67.93,693.797,46.6,0.4327,18.523,78.317,-0.7799999999999869,530.682,0.7678,100.116,35.537417405111924,4.029605993116816,0,0,0.0,0.0
